PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
37182666,Multiple therapeutic approaches of glioblastoma multiforme: From terminal to therapy.,2023-Jul-N/A,Smita Kumari; Rohan Gupta; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, India. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
36681250,Unwinding the modalities of necrosome activation and necroptosis machinery in neurological diseases.,2023-Apr-N/A,Rohan Gupta; Smita Kumari; Rahul Tripathi; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), India. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
36548217,Introducing HL7 FHIR Genomics Operations: a developer-friendly approach to genomics-EHR integration.,2023-Feb-16,Ammar Husami; Ning Xie,"Division of Human Genetics, Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, USA.; Biomedical Cybernetics Laboratory, Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts, USA.",N/A
36534645,Uneven terrain treadmill walking in younger and older adults.,2022-N/A-N/A,Ryan J Downey; Natalie Richer; Rohan Gupta; Chang Liu; Erika M Pliner; Daniel P Ferris,"Department of Biomedical Engineering, University of Florida, Gainesville, FL, United States of America.; Department of Biomedical Engineering, University of Florida, Gainesville, FL, United States of America.; Department of Biomedical Engineering, University of Florida, Gainesville, FL, United States of America.; Department of Biomedical Engineering, University of Florida, Gainesville, FL, United States of America.; Department of Biomedical Engineering, University of Florida, Gainesville, FL, United States of America.; Department of Biomedical Engineering, University of Florida, Gainesville, FL, United States of America.",N/A
35523504,Social and psychological impact of the COVID-19 pandemic on UK medical and nursing students: protocol for a national medical and nursing student survey.,2022-May-06,Jay J Park; Soham Bandyopadhyay,"The University of Edinburgh Medical School, Edinburgh, UK.; Oxford University Medical School, University of Oxford, Oxford, UK.",hlcgill2@liv.ac.uk
35491847,Hepatitis B-Associated Lupus-Like Glomerulonephritis Successfully Treated With Antiretroviral Drugs and Prednisone: A Case Report and Literature Review.,2022-N/A-N/A,Rohan Gupta,"Community Regional Medical Center, Fresno, CA, USA.",N/A
34984308,CREB1,2021-Dec-28,Rohan Gupta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.",N/A
34760324,,2021-N/A-N/A,Rohan Gupta,"Community Regional Medical Center, Fresno, CA 93721, USA.",N/A
34742724,Multifaced role of protein deacetylase sirtuins in neurodegenerative disease.,2022-Jan-N/A,Rohan Gupta; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
34741624,Autophagy and apoptosis cascade: which is more prominent in neuronal death?,2021-Dec-N/A,Rohan Gupta; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Mechanical Engineering Building, Delhi Technological University (Formerly Delhi College of Engineering), Room# FW4TF3, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Mechanical Engineering Building, Delhi Technological University (Formerly Delhi College of Engineering), Room# FW4TF3, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Mechanical Engineering Building, Delhi Technological University (Formerly Delhi College of Engineering), Room# FW4TF3, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India. pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
34462055,Histone deacetylase in neuropathology.,2021-N/A-N/A,Rohan Gupta; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi, India. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
33844136,Artificial intelligence to deep learning: machine intelligence approach for drug discovery.,2021-Aug-N/A,Rohan Gupta; Devesh Srivastava; Mehar Sahu; Swati Tiwari; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Shahbad Daulatpur, Bawana Road, Delhi, 110042, India. pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
33775891,Post-translational modifications: Regulators of neurodegenerative proteinopathies.,2021-Jul-N/A,Rohan Gupta; Mehar Sahu; Devesh Srivastava; Swati Tiwari; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
33681613,"Computational Analysis Indicates That PARP1 Acts as a Histone Deacetylases Interactor Sharing Common Lysine Residues for Acetylation, Ubiquitination, and SUMOylation in Alzheimer's and Parkinson's Disease.",2021-Mar-02,Rohan Gupta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.",N/A
33145085,Role of immunotherapy and co-mutations on KRAS-mutant non-small cell lung cancer survival.,2020-Sep-N/A,Idoroenyi Amanam; Isa Mambetsariev; Rohan Gupta; Srisairam Achuthan; Yingyu Wang; Rebecca Pharaon; Erminia Massarelli; Marianna Koczywas; Karen Reckamp; Ravi Salgia,"Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.; Center for Informatics, City of Hope National Medical Center, Duarte, CA, USA.; Center for Informatics, City of Hope National Medical Center, Duarte, CA, USA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA, USA.",N/A
33003373,Revisiting Traumatic Brain Injury: From Molecular Mechanisms to Therapeutic Interventions.,2020-Sep-29,Abbas Jarrahi; Molly Braun; Meenakshi Ahluwalia; Rohan V Gupta; Michael Wilson; Stephanie Munie; Pankaj Ahluwalia; John R Vender; Fernando L Vale; Krishnan M Dhandapani; Kumar Vaibhav,"Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Pathology, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Pathology, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.; Department of Neurosurgery, Medical College of Georgia, Augusta University, Augusta, GA 30912, USA.",N/A
32853752,Protective role of anticancer drugs in neurodegenerative disorders: A drug repurposing approach.,2020-Nov-N/A,Dia Advani; Rohan Gupta; Rahul Tripathi; Sudhanshu Sharma; Rashmi K Ambasta; Pravir Kumar,"Department of Biotechnology, Molecular Neuroscience and Functional Genomics Laboratory, Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Department of Biotechnology, Molecular Neuroscience and Functional Genomics Laboratory, Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Department of Biotechnology, Molecular Neuroscience and Functional Genomics Laboratory, Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Department of Biotechnology, Molecular Neuroscience and Functional Genomics Laboratory, Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Department of Biotechnology, Molecular Neuroscience and Functional Genomics Laboratory, Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India.; Department of Biotechnology, Molecular Neuroscience and Functional Genomics Laboratory, Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi, 110042, India. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
32652176,In Vivo Assessment of Cell Death and Nigrostriatal Pathway Integrity Following Continuous Expression of C3 Transferase.,2020-Aug-21,Robert E Gross,"Department of Neurosurgery, Emory University School of Medicine, Atlanta, GA, United States; Wallace H. Coulter Department of Biomedical Engineering, Georgia Institute of Technology, Atlanta, GA, United States.",cguteku@emory.edu
32644904,Progressive Neurologic Changes in a Patient With Metastatic Non-Small-Cell Lung Cancer: Cancer Effects or a Secondary Diagnosis?,2021-Jan-N/A,Idoroenyi Amanam; Isa Mambetsariev; Rohan Gupta; Ravi Salgia,"Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA.; Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, CA.",N/A
32504755,Identification of novel class I and class IIb histone deacetylase inhibitor for Alzheimer's disease therapeutics.,2020-Sep-01,Rohan Gupta; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University (Formerly DCE), Delhi 110042, India. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
32199763,"Characteristics and Trends of Adult Acute Lymphoblastic Leukemia in a Large, Public Safety-Net Hospital.",2020-Jun-N/A,Rohan Gupta; Tamer Othman; An Uche; Idoroenyi Amanam; Larissa Celles; Gregorianna Lane; Matthew Mei; Ibrahim Aldoss; Vinod Pullarkat; Phyllis Kim; James Yeh,"Division of Hematology and Medical Oncology, Harbor-UCLA Medical Center, Torrance, CA; Department of Hematology and Hematopoietic Cell Transplant, City of Hope National Medical Center, Duarte, CA.; Department of Internal Medicine, Harbor-UCLA Medical Center, Torrance, CA.; Division of Hematology and Medical Oncology, Harbor-UCLA Medical Center, Torrance, CA.; Division of Hematology and Medical Oncology, Harbor-UCLA Medical Center, Torrance, CA; Department of Hematology and Hematopoietic Cell Transplant, City of Hope National Medical Center, Duarte, CA.; Division of Hematology and Medical Oncology, Harbor-UCLA Medical Center, Torrance, CA.; Division of Hematology and Medical Oncology, Harbor-UCLA Medical Center, Torrance, CA.; Department of Hematology and Hematopoietic Cell Transplant, City of Hope National Medical Center, Duarte, CA.; Department of Hematology and Hematopoietic Cell Transplant, City of Hope National Medical Center, Duarte, CA.; Department of Hematology and Hematopoietic Cell Transplant, City of Hope National Medical Center, Duarte, CA.; Division of Hematology and Medical Oncology, Harbor-UCLA Medical Center, Torrance, CA.; Division of Hematology and Medical Oncology, Harbor-UCLA Medical Center, Torrance, CA. Electronic address: jamyeh@dhs.lacounty.gov.",jamyeh@dhs.lacounty.gov
32162812,Guardant360 Circulating Tumor DNA Assay Is Concordant with FoundationOne Next-Generation Sequencing in Detecting Actionable Driver Mutations in Anti-EGFR Naive Metastatic Colorectal Cancer.,2020-Mar-N/A,Rohan Gupta; Tamer Othman; Chen Chen; Jaideep Sandhu; Ching Ouyang; Marwan Fakih,"Department of Medical Oncology & Therapeutics Research, City of Hope National Medical Center, Duarte, California, USA.; Department of Internal Medicine, Harbor-UCLA Medical Center, Torrance, California, USA.; Center for Informatics, City of Hope National Medical Center, Duarte, California, USA.; Department of Medical Oncology & Therapeutics Research, City of Hope National Medical Center, Duarte, California, USA.; Center for Informatics, City of Hope National Medical Center, Duarte, California, USA.; Department of Medical Oncology & Therapeutics Research, City of Hope National Medical Center, Duarte, California, USA.",N/A
31926248,Pharmacological intervention of histone deacetylase enzymes in the neurodegenerative disorders.,2020-Feb-15,Rohan Gupta; Rashmi K Ambasta; Pravir Kumar,"Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi 110042, India.; Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi 110042, India.; Department of Biotechnology, Delhi Technological University (Formerly Delhi College of Engineering), Room# FW4TF3, Mechanical Engineering Building, Shahbad Daulatpur, Bawana Road, Delhi 110042, India.. Electronic address: pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
31695170,Pulmonary hypertension is associated with increased nonrelapse mortality after allogeneic hematopoietic cell transplantation for myelofibrosis.,2020-May-N/A,Rohan Gupta; Faizi Jamal; Dongyun Yang; Chendri Chendri; Ibrahim Aldoss; Monzr Al Malki; Matthew Mei; Amandeep Salhotra; Surime Dobrin; Michael Tran; K Venkataraman; Joycelynne Palmer; Anthony S Stein; Karamjeet Sandhu; Samer Khaled; Ahmed Aribi; Guido Marcucci; Stephen J Forman; David Snyder; Ryotaro Nakamura; Haris Ali; Vinod Pullarkat,"Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Information Sciences, City of Hope Medical Center, Duarte, CA, USA.; Department of Cardiology, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Cardiology, City of Hope Medical Center, Duarte, CA, USA.; Department of Cardiology, City of Hope Medical Center, Duarte, CA, USA.; Department of Information Sciences, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA.; Department of Hematology and Hematopoietic Cell Transplantation, City of Hope Medical Center, Duarte, CA, USA. vpullarkat@coh.org.",vpullarkat@coh.org
31520766,Polymorphous Low-Grade Neuroepithelial Tumor of the Young: A Case Report with Genomic Findings.,2019-Dec-N/A,V Rohan Gupta; Cole Giller; Ravindra Kolhe; Scott E Forseen; Suash Sharma,"Department of Neurosurgery, Medical College of Georgia at Augusta University, Augusta, Georgia, USA.; Department of Neurosurgery, Medical College of Georgia at Augusta University, Augusta, Georgia, USA.; Department of Pathology, Medical College of Georgia at Augusta University, Augusta, Georgia, USA.; Department of Radiology and Imaging, Medical College of Georgia at Augusta University, Augusta, Georgia, USA.; Department of Pathology, Medical College of Georgia at Augusta University, Augusta, Georgia, USA. Electronic address: susharma@augusta.edu.",susharma@augusta.edu
